product_code,product_name,price,availability,description,category,brand,image_url,stock_status,scrape_status,error_message,location_Local,location_Other,location_Branch
12627.0,,,,,,,,,success,,,,Sydney
12652.0,MI 30XMX10MM CASCADE COLLAR RED !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12653.0,MI 30XMX10MM CASCADE COLLAR PURPLE !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12665.0,MI 4.0MM X 270CM TIE OUT CHAIN !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12667.0,MI 55CM HEAVY CHOKER CHAIN !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12668.0,MI 60CM HEAVY CHOKER CHAIN !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12670.0,MI 60CM EXTRA-HEAVY CHOKER CHAIN !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12676.0,MI 180CMX25MMCOMFYCARE LEAD RED !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12678.0,MI 25-35CMX15MMBLK RIBBON COLLAR !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12679.0,MI 25-35CMX15MMRED RIBBON COLLAR !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12692.0,,,,,,,,,success,,,,Sydney
12697.0,,,,,,,,,success,,,,Sydney
12709.0,MI 60CM DROVER COLLAR END DEE !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12710.0,MI 35CM EBONY COLLAR-LL&STUD !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12724.0,MI 40CMX15MM HILITE COLLAR RED !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12740.0,MI SADDLE BLANKET MOONWALKER REINFORC!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12745.0,MI VETS ALL NATURAL COMPLT SENIOR 15KG!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12749.0,MI 30CM LIGHT CHOKER CHAIN !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12750.0,,,,,,,,,success,,,,Sydney
12751.0,,,,,,,,,success,,,,Sydney
12758.0,,,,,,,,,success,,,,Sydney
12759.0,,,,,,,,,success,,,,Sydney
12763.0,,,,,,,,,success,,,,Sydney
12764.0,MI .18LT S/STEEL PLAIN PET DISH !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12824.0,MUSTAD H ST CROIX ADVANTAGE S/C H 0 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12825.0,MUSTAD H ST CROIX ADVANTAGE S/C H 2 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12826.0,MUSTAD ST CROIX EVENTERSTEEL S/C F 0 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12827.0,MUSTAD ST CROIX EVENTERSTEEL S/C H 0 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12828.0,MUSTAD HS VICTORY RX RACING !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12829.0,MUSTAD HS CONCORDE STEEL S/C H SIZE 7!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12830.0,MUSTAD HS CONCORDE STEEL S/C H SIZE 5!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12831.0,MUSTAD H T'BRED SILVER QUEEN F 4!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12832.0,,,,,,,,,success,,,,Sydney
12833.0,MUSTAD HS CONCORDE STEEL S/C H 6!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12834.0,MUSTAD ST CROIX ADVANTAGE S/C F 0 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12835.0,MUSTAD H CONCORDE RACE PLATE S/C H 5 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12836.0,MUSTAD H ST CROIX ADVANTAGE S/C F 2 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12840.0,MUSTAD H CONCORDE RACE PLATE S/C H 6 !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12850.0,OLSSON UREA 15% 19KG !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12851.0,OLSSON DRY SEASON + 10% UREA 40KG TBD #,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12852.0,OLSSON BLOAT LICK 15KG **,,In Stock (64 available),,,,,In Stock,success,,59,5,Sydney
12855.0,PAW NUTRIDERM REPLENISH SHAMP200ML !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12856.0,PAW OSEOSUPPORT DOGS 80 CAPSULES !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12867.0,,,,,,,,,success,,,,Sydney
12885.0,ST FEED SCOPP ALUMINIUM MEDIUM !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12897.0,ST BUCKET STOCK SAFE ROUND 13LTR !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12931.0,ST BIT BRAD LUGGING !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12954.0,ST RACE EXERCISE SURCINGLE !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12955.0,STC TRAILER TIE BUNGEE 50CM STB4389-50!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12956.0,ST JOLLY SALT SNACK REFILL APPLE FLAV!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12957.0,ST BIT DUTCH GAG 4 RINGS !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12958.0,ST RUBBER CHEEKERS !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12959.0,ST STIRRUP PADS - FILLIS RUBBER !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12962.0,STC TRAILER TIE BUNGEE 70CM STB4389-70!!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12963.0,STC THINNING RAZOR (PLASTIC) !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12964.0,STC STIRRUPS FILLIS !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12965.0,ST COLLAR FREE-HEAD !!,,Out of Stock,,,,,Out of Stock,success,,0,0,Sydney
12966.0,,,,,,,,,success,,,,Sydney
